inst.id,inst.ref,inst.jobs,inst.machines,inst.opt.bound.lower,inst.opt.bound.lower.ref
swv04,SWV1992NSSFSPWATJSS,20,10,1464,VLS2015FDSFCBS
swv05,SWV1992NSSFSPWATJSS,20,10,1424,M1996ATOATCOSFTJSSP
swv06,SWV1992NSSFSPWATJSS,20,15,1630,VLS2015FDSFCBS
swv07,SWV1992NSSFSPWATJSS,20,15,1513,VLS2015FDSFCBS
swv08,SWV1992NSSFSPWATJSS,20,15,1671,VLS2015FDSFCBS
swv09,SWV1992NSSFSPWATJSS,20,15,1633,VLS2015FDSFCBS
swv10,SWV1992NSSFSPWATJSS,20,15,1663,VLS2015FDSFCBS
swv11,SWV1992NSSFSPWATJSS,50,10,2983,V1996ATJEBOL
swv12,SWV1992NSSFSPWATJSS,50,10,2972,V1996ATJEBOL
swv13,SWV1992NSSFSPWATJSS,50,10,3104,V1996ATJEBOL
swv14,SWV1992NSSFSPWATJSS,50,10,2968,BV1994GLSWSBFJSS
swv15,SWV1992NSSFSPWATJSS,50,10,2885,V1996ATJEBOL
swv16,SWV1992NSSFSPWATJSS,50,10,2924,SWV1992NSSFSPWATJSS
swv17,SWV1992NSSFSPWATJSS,50,10,2794,SWV1992NSSFSPWATJSS
swv18,SWV1992NSSFSPWATJSS,50,10,2852,SWV1992NSSFSPWATJSS
swv19,SWV1992NSSFSPWATJSS,50,10,2843,SWV1992NSSFSPWATJSS
swv20,SWV1992NSSFSPWATJSS,50,10,2823,SWV1992NSSFSPWATJSS
ta01,T199BFBSP,15,15,1231,T199BFBSP
ta02,T199BFBSP,15,15,1244,V1995RLOETP
ta03,T199BFBSP,15,15,1218,BB2001SOBIFTJSPBPHTA
ta04,T199BFBSP,15,15,1175,BB2001SOBIFTJSPBPHTA
ta05,T199BFBSP,15,15,1224,BB2001SOBIFTJSPBPHTA
ta06,T199BFBSP,15,15,1238,BB2001SOBIFTJSPBPHTA
ta07,T199BFBSP,15,15,1227,BB2001SOBIFTJSPBPHTA
ta08,T199BFBSP,15,15,1217,BB2001SOBIFTJSPBPHTA
ta09,T199BFBSP,15,15,1274,BB2001SOBIFTJSPBPHTA
ta10,T199BFBSP,15,15,1241,V1995RLOETP
ta11,T199BFBSP,20,15,1357,VLS2015FDSFCBS
ta12,T199BFBSP,20,15,1367,VLS2015FDSFCBS
ta13,T199BFBSP,20,15,1342,VLS2015FDSFCBS
ta14,T199BFBSP,20,15,1345,V1995RLOETP
ta15,T199BFBSP,20,15,1339,VLS2015FDSFCBS
ta16,T199BFBSP,20,15,1360,VLS2015FDSFCBS
ta17,T199BFBSP,20,15,1462,S200RLOETP
ta18,T199BFBSP,20,15,1377,VLS2015FDSFCBS
ta19,T199BFBSP,20,15,1332,VLS2015FDSFCBS
ta20,T199BFBSP,20,15,1348,VLS2015FDSFCBS
ta21,T199BFBSP,20,20,1642,VLS2015FDSFCBS
ta22,T199BFBSP,20,20,1561,VLS2015FDSFCBS
ta23,T199BFBSP,20,20,1518,VLS2015FDSFCBS
ta24,T199BFBSP,20,20,1644,VLS2015FDSFCBS
ta25,T199BFBSP,20,20,1558,VLS2015FDSFCBS
ta26,T199BFBSP,20,20,1591,VLS2015FDSFCBS
ta27,T199BFBSP,20,20,1652,VLS2015FDSFCBS
ta28,T199BFBSP,20,20,1603,VLS2015FDSFCBS
ta29,T199BFBSP,20,20,1573,VLS2015FDSFCBS
ta30,T199BFBSP,20,20,1519,VLS2015FDSFCBS
ta31,T199BFBSP,30,15,1764,T199BFBSP
ta32,T199BFBSP,30,15,1774,T199BFBSP
ta33,T199BFBSP,30,15,1788,VLS2015FDSFCBS
ta34,T199BFBSP,30,15,1828,T199BFBSP
ta35,T199BFBSP,30,15,2007,V1995RLOETP
ta36,T199BFBSP,30,15,1819,V1995RLOETP
ta37,T199BFBSP,30,15,1771,T199BFBSP
ta38,T199BFBSP,30,15,1673,T199BFBSP
ta39,T199BFBSP,30,15,1795,V1995RLOETP
ta40,T199BFBSP,30,15,1651,VLS2015FDSFCBS
ta41,T199BFBSP,30,20,1906,VLS2015FDSFCBS
ta42,T199BFBSP,30,20,1884,VLS2015FDSFCBS
ta43,T199BFBSP,30,20,1809,V1995RLOETP
ta44,T199BFBSP,30,20,1948,VLS2015FDSFCBS
ta45,T199BFBSP,30,20,1997,V1995RLOETP
ta46,T199BFBSP,30,20,1957,VLS2015FDSFCBS
ta47,T199BFBSP,30,20,1807,VLS2015FDSFCBS
ta48,T199BFBSP,30,20,1912,V1995RLOETP
ta49,T199BFBSP,30,20,1931,VLS2015FDSFCBS
ta50,T199BFBSP,30,20,1833,VLS2015FDSFCBS
ta51,T199BFBSP,50,15,2760,T199BFBSP
ta52,T199BFBSP,50,15,2756,T199BFBSP
ta53,T199BFBSP,50,15,2717,T199BFBSP
ta54,T199BFBSP,50,15,2839,T199BFBSP
ta55,T199BFBSP,50,15,2679,T199BFBSP
ta56,T199BFBSP,50,15,2781,T199BFBSP
ta57,T199BFBSP,50,15,2943,T199BFBSP
ta58,T199BFBSP,50,15,2885,T199BFBSP
ta59,T199BFBSP,50,15,2655,T199BFBSP
ta60,T199BFBSP,50,15,2723,T199BFBSP
ta61,T199BFBSP,50,20,2868,T199BFBSP
ta62,T199BFBSP,50,20,2869,V1995RLOETP
ta63,T199BFBSP,50,20,2755,T199BFBSP
ta64,T199BFBSP,50,20,2702,BV1994GLSWSBFJSS
ta65,T199BFBSP,50,20,2725,T199BFBSP
ta66,T199BFBSP,50,20,2845,T199BFBSP
ta67,T199BFBSP,50,20,2825,V1995RLOETP
ta68,T199BFBSP,50,20,2784,BV1994GLSWSBFJSS
ta69,T199BFBSP,50,20,3071,T199BFBSP
ta70,T199BFBSP,50,20,2995,T199BFBSP
ta71,T199BFBSP,100,20,5464,T199BFBSP
ta72,T199BFBSP,100,20,5181,T199BFBSP
ta73,T199BFBSP,100,20,5568,T199BFBSP
ta74,T199BFBSP,100,20,5339,T199BFBSP
ta75,T199BFBSP,100,20,5392,T199BFBSP
ta76,T199BFBSP,100,20,5342,T199BFBSP
ta77,T199BFBSP,100,20,5436,T199BFBSP
ta78,T199BFBSP,100,20,5394,T199BFBSP
ta79,T199BFBSP,100,20,5358,T199BFBSP
ta80,T199BFBSP,100,20,5183,T199BFBSP
yn1,YN1992AGAATLSJSI,20,20,884,KNFH2010SOJSSPBSE
yn2,YN1992AGAATLSJSI,20,20,870,BB2001SOBIFTJSPBPHTA
yn3,YN1992AGAATLSJSI,20,20,859,VLS2015FDSFCBS
yn4,YN1992AGAATLSJSI,20,20,929,VLS2015FDSFCBS
